,sna,tot,sbi,sarea,mday,ar,bemp,act
0,YouBike2.0_捷運科技大樓站,28,2,大安區,2023-06-03 09:31:14,復興南路二段235號前,26,1
1,YouBike2.0_復興南路二段273號前,21,2,大安區,2023-06-03 09:31:14,復興南路二段273號西側,19,1
2,YouBike2.0_國北教大實小東側門,16,4,大安區,2023-06-03 09:28:13,和平東路二段96巷7號,12,1
3,YouBike2.0_和平公園東側,11,1,大安區,2023-06-03 09:23:14,和平東路二段118巷33號,10,1
4,YouBike2.0_辛亥復興路口西北側,16,0,大安區,2023-06-03 09:30:28,復興南路二段368號,16,1
5,YouBike2.0_復興南路二段280號前,11,0,大安區,2023-06-03 09:31:14,復興南路二段280號,11,1
6,YouBike2.0_復興南路二段340巷口,11,0,大安區,2023-06-03 08:30:30,復興南路二段342號,11,1
8,YouBike2.0_新生南路三段66號前,16,3,大安區,2023-06-03 09:28:13,新生南路三段66號東側,13,1
10,YouBike2.0_辛亥路一段30號前,8,1,大安區,2023-06-03 09:30:40,辛亥路一段30號,7,1
11,YouBike2.0_和平復興路口西北側,9,0,大安區,2023-06-03 09:23:04,復興南路二段236號,9,1
12,YouBike2.0_羅斯福路三段311號前,11,0,大安區,2023-06-03 09:30:28,羅斯福路三段311號,10,1
13,YouBike2.0_大安運動中心停車場,14,2,大安區,2023-06-03 09:30:40,敦南街76巷28號,11,1
14,YouBike2.0_羅斯福路三段245號前,8,0,大安區,2023-06-03 09:31:14,羅斯福路三段245號,8,1
15,YouBike2.0_溫州公園,5,2,大安區,2023-06-03 09:30:40,羅斯福路三段283巷11號,3,1
16,YouBike2.0_和平臥龍街口,15,0,大安區,2023-06-03 09:16:04,臥龍街1號,15,1
17,YouBike2.0_溫州停車場,5,3,大安區,2023-06-03 09:27:13,新生南路三段54巷/溫州街口,2,1
18,YouBike2.0_銘傳國小側門,7,1,大安區,2023-06-03 09:08:13,羅斯福路四段21號旁天橋下,6,1
19,YouBike2.0_捷運公館站(2號出口),99,1,大安區,2023-06-03 09:31:14,捷運公館站(2號出口)外側,98,1
21,YouBike2.0_臺灣科技大學正門,30,5,大安區,2023-06-03 09:24:14,基隆路四段43號(臺灣科技大學正門旁小側門靠田徑場),25,1
23,YouBike2.0_公館公園,15,0,大安區,2023-06-03 09:06:03,羅斯福路四段113巷基隆路四段41巷口,15,1
24,YouBike2.0_臺灣科技大學後門,39,0,大安區,2023-06-03 09:31:14,基隆路四段41巷68弄臺科帆船大樓旁,39,1
25,YouBike2.0_臺大醫學院附設癌醫中心,20,5,大安區,2023-06-03 09:19:14,基隆路三段155巷57號西側,14,1
26,YouBike2.0_臺大環研大樓,15,0,大安區,2023-06-03 08:57:04,芳蘭路/基隆路三段155巷口,15,1
27,YouBike2.0_臺大永齡生醫工程館,34,5,大安區,2023-06-03 09:27:13,芳蘭路51號西北側,29,1
28,YouBike2.0_臺大男七舍前,20,4,大安區,2023-06-03 09:26:14,長興街/長興街80巷口西側,16,1
29,YouBike2.0_臺大男一舍前,61,2,大安區,2023-06-03 09:23:14,長興街50號西北側,58,1
30,YouBike2.0_臺大男六舍前,46,2,大安區,2023-06-03 09:31:14,大安區長興街31號,44,1
31,YouBike2.0_臺大動物醫院前,18,3,大安區,2023-06-03 09:26:14,基隆路三段155巷/基隆路四段口,15,1
32,YouBike2.0_臺大土木研究大樓前,24,5,大安區,2023-06-03 09:29:13,辛亥路三段188號,19,1
33,YouBike2.0_臺大萬才館前,20,1,大安區,2023-06-03 08:58:04,臺大萬才館北側,19,1
34,YouBike2.0_臺大國青大樓宿舍前,20,1,大安區,2023-06-03 09:21:21,辛亥路三段30號西北側,19,1
36,YouBike2.0_臺大法人語言訓練中心前,28,0,大安區,2023-06-03 09:19:04,臺大法人語言訓練中心北側,28,1
37,YouBike2.0_臺大綜合體育館停車場前,25,6,大安區,2023-06-03 09:25:14,臺大綜合體育館北側,19,1
38,YouBike2.0_辛亥新生路口東南側,41,6,大安區,2023-06-03 09:26:14,辛亥新生路口東南側,35,1
39,YouBike2.0_基隆長興路口東側,15,1,大安區,2023-06-03 09:11:14,基隆長興路口東側,14,1
41,YouBike2.0_和平實小東北側,13,4,大安區,2023-06-03 09:30:40,敦南街73號,9,1
42,YouBike2.0_大安區健康服務中心,15,6,大安區,2023-06-03 08:57:13,辛亥路三段15號,9,1
46,YouBike2.0_臥龍公園,14,2,大安區,2023-06-03 09:00:57,辛亥路三段223號西側,12,1
52,YouBike2.0_捷運臺電大樓站(2號出口),15,0,大安區,2023-06-03 09:29:04,辛亥路一段/羅斯福路三段口北側(辛亥路側),15,1
53,YouBike2.0_和平金山路口,45,5,大安區,2023-06-03 09:27:13,和平東路一段/金山南路二段西南側,40,1
55,YouBike2.0_和平泰順街口,9,2,大安區,2023-06-03 09:25:14,和平東路一段/泰順街口東南側,7,1
58,YouBike2.0_捷運古亭站(5號出口),14,0,大安區,2023-06-03 09:29:04,和平東路一段19號前,14,1
60,YouBike2.0_新生和平路口東北側,38,0,大安區,2023-06-03 09:09:04,新生南路二段與和平東路二段口東北側,38,1
62,YouBike2.0_金華公園,35,1,大安區,2023-06-03 09:23:14,金華街249號對面,33,1
64,YouBike2.0_金甌女中,12,2,大安區,2023-06-03 09:27:13,信義路二段與杭州南路二段東南側,10,1
67,YouBike2.0_敦化南路二段293巷口南側,14,0,大安區,2023-06-03 09:19:04,敦化南路二段293巷口南側,14,1
69,YouBike2.0_安和路二段181巷口,17,0,大安區,2023-06-03 09:31:14,安和路二段185號,17,1
70,YouBike2.0_臨江街夜市(通化街101巷口),30,1,大安區,2023-06-03 09:27:13,通化街111號,29,1
71,YouBike2.0_臨江街夜市(基隆路),17,3,大安區,2023-06-03 09:13:14,基隆路二段108號,14,1
72,YouBike2.0_台北科技大學億光大樓,46,3,大安區,2023-06-03 09:21:21,忠孝東路三段81號,43,1
73,YouBike2.0_新生南路一段119巷口,33,2,大安區,2023-06-03 09:25:14,新生南路一段113號,30,1
75,YouBike2.0_民榮公園,15,0,大安區,2023-04-20 07:22:04,建國南路一段304巷45號南側,15,0
76,YouBike2.0_復興南路1段340巷口,38,6,大安區,2023-06-03 09:30:40,復興南路一段信義路三段147巷45弄口,32,1
77,YouBike2.0_建國濟南路口,29,2,大安區,2023-06-03 09:28:13,建國南路一段/濟南路三段口(東南側),27,1
78,YouBike2.0_捷運忠孝復興站(2號出口),43,0,大安區,2023-06-03 09:29:04,復興南路一段/仁愛路三段123巷13弄(西北側),43,1
79,YouBike2.0_捷運大安站(4號出口),13,5,大安區,2023-06-03 09:29:13,信義路4段6號(前),7,1
81,YouBike2.0_信義大安路口(信維大樓),12,4,大安區,2023-06-03 09:29:13,信義路四段74號(前),8,1
85,YouBike2.0_仁愛國中,25,1,大安區,2023-06-03 09:11:03,安和路一段75號(對面),24,1
86,YouBike2.0_捷運信義安和站(2號出口),26,4,大安區,2023-06-03 09:30:40,信義路四段188號前,22,1
87,YouBike2.0_八德市場,30,3,大安區,2023-06-03 09:30:40,市民大道三段170號,26,1
88,YouBike2.0_昌隆公園,16,5,大安區,2023-06-03 09:19:14,市民大道三段206號西側,11,1
90,YouBike2.0_信義延吉街口,15,1,大安區,2023-06-03 09:29:13,信義路四段353號,14,1
91,YouBike2.0_光信公園(光復南路456巷),15,0,大安區,2023-06-03 09:17:16,延吉街249號,15,1
92,YouBike2.0_僑安地下停車場(2號出口)東南側,20,1,大安區,2023-06-03 09:30:40,光復南路290巷5號,19,1
93,YouBike2.0_建國南路一段279巷口,32,4,大安區,2023-06-03 09:30:40,建國南路一段275號,27,1
94,YouBike2.0_捷運忠孝新生站(6號出口),15,2,大安區,2023-06-03 09:11:14,新生南路一段101號,13,1
95,YouBike2.0_捷運忠孝新生站(4號出口),34,0,大安區,2023-06-03 09:23:04,忠孝新生路口北側,34,1
96,YouBike2.0_大安高工,23,3,大安區,2023-06-03 09:27:13,復興南路二段52號(前),20,1
97,YouBike2.0_捷運忠孝新生站(3號出口),23,2,大安區,2023-06-03 09:13:14,忠孝東路三段與10巷口,21,1
100,YouBike2.0_捷運大安森林公園站(5號出口),15,5,大安區,2023-06-03 09:29:14,捷運大安森林公園站(5號出口)東側,10,1
102,YouBike2.0_東豐公園,19,1,大安區,2023-06-03 09:30:28,東豐街24號(旁公園路側),18,1
103,YouBike2.0_德安公園(四維路66巷),14,2,大安區,2023-06-03 09:29:14,四維路66巷6號北側,12,1
106,YouBike2.0_捷運忠孝敦化站(7號出口),18,1,大安區,2023-06-03 09:29:04,忠孝東路四段143號,17,1
108,YouBike2.0_樂利路21巷口,17,1,大安區,2023-06-03 09:30:40,樂利路25號,16,1
114,YouBike2.0_仁愛延吉街口,25,4,大安區,2023-06-03 09:31:14,仁愛路四段376號前,21,1
115,YouBike2.0_捷運信義安和站(1號出口),33,3,大安區,2023-06-03 09:28:13,信義路四段225號前,30,1
116,YouBike2.0_敦化南路二段103巷口,24,6,大安區,2023-06-03 09:30:40,敦化南路二段99號前,17,1
119,YouBike2.0_芳蘭山莊,16,5,大安區,2023-06-03 09:29:14,基隆路三段155巷148號,11,1
120,YouBike2.0_復興南路一段126巷口,15,6,大安區,2023-06-03 09:16:14,復興南路一段126巷1號前,8,1
121,YouBike2.0_捷運東門站(5號出口),28,6,大安區,2023-06-03 09:31:14,信義路二段178號前,22,1
122,YouBike2.0_仁愛路四段48巷口,11,1,大安區,2023-06-03 09:29:14,仁愛路四段48巷/東豐街(北側),10,1
123,YouBike2.0_捷運公館站(3號出口),90,2,大安區,2023-06-03 09:31:14,捷運公館站(3號出口)西側,88,1
124,YouBike2.0_臺北科技大學(電機工程系),16,1,大安區,2023-06-03 09:29:14,忠孝東路三段100號對側,15,1
127,YouBike2.0_辛亥新生路口西北側,12,4,大安區,2023-06-03 09:30:40,辛亥路一段/新生南路三段(西北側),8,1
128,YouBike2.0_捷運大安站(6號出口),19,3,大安區,2023-06-03 09:29:14,復興南路一段303號前,16,1
130,YouBike2.0_辛亥路三段157巷口,19,1,大安區,2023-06-03 09:26:14,辛亥路三段與辛亥路三段157巷口西北側,18,1
132,YouBike2.0_敦親公園,20,0,大安區,2023-06-03 09:21:04,和平東路二段96巷8之1號(前方),20,1
133,YouBike2.0_大安運動中心,27,0,大安區,2023-06-03 08:35:04,辛亥路三段55號前方人行道(大安運動中心),27,1
134,YouBike2.0_和平敦化路口,25,1,大安區,2023-06-03 09:30:28,和平東路三段 / 敦化南路二段口(東側),24,1
136,YouBike2.0_仁愛路四段122巷口,16,4,大安區,2023-06-03 09:22:14,仁愛路四段118號前,12,1
137,YouBike2.0_市民敦化路口,15,0,大安區,2023-06-03 09:00:46,敦化南路一段111號前,15,1
138,YouBike2.0_忠孝東路四段49巷口,15,0,大安區,2023-06-03 09:21:04,忠孝東路四段55號前,14,1
139,YouBike2.0_市民復興路口(東南側),16,0,大安區,2023-06-03 09:19:04,市民大道四段/復興路一段口(東南側),16,1
140,YouBike2.0_和平新生路口西南側,13,2,大安區,2023-06-03 09:21:21,新生南路三段2號前,11,1
141,YouBike2.0_全安公園,16,3,大安區,2023-06-03 09:28:13,安和路二段227巷16號對側,13,1
142,YouBike2.0_信義路三段134巷口,19,1,大安區,2023-06-03 09:14:14,信義路三段/信義路三段134巷口,18,1
143,YouBike2.0_仁愛敦南圓環(東南側),16,1,大安區,2023-06-03 09:29:14,仁愛路四段110號前,14,1
145,YouBike2.0_外交部外交及國際事務學院,17,4,大安區,2023-06-03 09:28:13,敦化南路一段280號,13,1
146,YouBike2.0_四維路170巷口,22,1,大安區,2023-06-03 09:31:14,敦化南路二段92號對側中央分隔島,20,1
148,YouBike2.0_捷運臺電大樓站(2號出口)_1,31,4,大安區,2023-06-03 09:31:14,羅斯福路三段201號旁,27,1
149,YouBike2.0_信義路四段199巷,15,0,大安區,2023-06-03 09:25:04,信義路四段199巷/安和路一段90巷口,15,1
150,YouBike2.0_臺大資訊大樓,40,3,大安區,2023-06-03 09:31:14,辛亥路二段(臺大外語學院外),37,1
152,YouBike2.0_原臺北刑務所官舍,23,3,大安區,2023-06-03 09:22:14,金華街78號對側,20,1
153,YouBike2.0_捷運國父紀念館站(1號出口),25,0,大安區,2023-06-03 09:21:04,光復南路200巷26號東側,25,1
154,YouBike2.0_懷生國中,15,2,大安區,2023-06-03 09:19:14,忠孝東路三段248巷30號,13,1
156,YouBike2.0_立人國小,17,3,大安區,2023-06-03 09:31:14,安和路二段/敦化南路二段81巷(西南側),14,1
